PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 10411 C,10315,60,19,10
PANTONE 10413 C,10316,49,49,25
PANTONE 10414 C,10317,43,60,8
PANTONE 10415 C,10318,44,46,23
PANTONE 10416 C,10319,39,52,30
PANTONE 10417 C,10320,41,52,29
PANTONE 10418 C,10321,35,37,20
PANTONE 10419 C,10322,60,24,7
PANTONE 10420 C,10323,57,22,0
PANTONE 10421 C,10324,43,41,-7
PANTONE 10422 C,10325,35,40,-12
PANTONE 10423 C,10326,42,34,-19
PANTONE 10424 C,10327,29,39,-23
PANTONE 10425 C,10328,35,8,-40
PANTONE 10426 C,10329,30,5,-31
PANTONE 10427 C,10330,27,9,-41
PANTONE 10428 C,10331,29,22,-42
PANTONE 10429 C,10332,24,23,-36
PANTONE 10430 C,10333,23,17,-28
PANTONE 10431 C,10334,64,-9,-9
PANTONE 10432 C,10335,50,-9,-12
PANTONE 10433 C,10336,45,-19,-28
PANTONE 10434 C,10337,37,-15,-28
PANTONE 10435 C,10338,50,-1,-7
PANTONE 10436 C,10339,46,-2,-4
PANTONE 10437 C,10340,45,-18,7
PANTONE 10438 C,10341,57,-32,17
PANTONE 10439 C,10342,56,-31,5
PANTONE 10440 C,10343,51,-30,-14
PANTONE 10441 C,10344,39,-23,-15
PANTONE 10442 C,10345,37,-12,-7
PANTONE 10443 C,10346,61,16,13
PANTONE 10444 C,10347,54,12,6
PANTONE 10445 C,10348,55,10,6
PANTONE 10446 C,10349,59,6,4
PANTONE 10447 C,10350,54,5,2
PANTONE 10448 C,10351,60,2,0
PANTONE 10449 C,10352,75,-3,2
PANTONE 10450 C,10353,71,-1,0
PANTONE 10451 C,10354,49,-1,1
PANTONE 10452 C,10355,43,-1,-1
PANTONE 10453 C,10356,38,-2,-3
PANTONE 10454 C,10357,32,0,0
PANTONE 105 C,10358,52,-1,45
PANTONE 106 C,10359,91,-6,74
PANTONE 107 C,10360,90,-4,83
PANTONE 108 C,10361,89,0,86
PANTONE 109 C,10362,86,5,85
PANTONE 110 C,10363,73,8,74
PANTONE 111 C,10364,59,4,62
PANTONE 112 C,10365,56,2,56
PANTONE 113 C,10366,89,-3,69
PANTONE 114 C,10367,89,-2,75
PANTONE 115 C,10368,88,0,82
PANTONE 116 C,10369,85,7,84
PANTONE 117 C,10370,66,12,69
PANTONE 118 C,10371,58,8,62
PANTONE 119 C,10372,50,1,45
PANTONE 120 C,10373,89,1,61
PANTONE 1205 C,10374,90,0,43
PANTONE 121 C,10375,88,2,65
PANTONE 1215 C,10376,88,4,53
PANTONE 122 C,10377,86,6,72
PANTONE 1225 C,10378,84,11,69
PANTONE 123 C,10379,83,11,76
PANTONE 1235 C,10380,80,17,77
PANTONE 124 C,10381,74,16,76
PANTONE 1245 C,10382,64,13,64
PANTONE 125 C,10383,59,12,63
PANTONE 1255 C,10384,58,9,55
PANTONE 126 C,10385,52,8,53
PANTONE 1265 C,10386,47,6,41
PANTONE 127 C,10387,89,-3,57
PANTONE 128 C,10388,86,0,67
PANTONE 129 C,10389,84,2,71
PANTONE 130 C,10390,75,19,77
PANTONE 131 C,10391,63,19,67
PANTONE 132 C,10392,52,12,57
PANTONE 133 C,10393,38,3,36
PANTONE 134 C,10394,87,7,53
PANTONE 1345 C,10395,86,9,42
PANTONE 135 C,10396,84,12,61
PANTONE 1355 C,10397,84,14,51
PANTONE 136 C,10398,82,15,69
PANTONE 1365 C,10399,79,20,62
PANTONE 137 C,10400,75,27,78
PANTONE 1375 C,10401,74,31,73
PANTONE 138 C,10402,62,34,68
PANTONE 1385 C,10403,60,32,66
PANTONE 139 C,10404,52,22,58
PANTONE 1395 C,10405,46,19,47
