PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 393 C,11342,92,-10,57
PANTONE 3935 C,11343,92,-10,66
PANTONE 394 C,11344,91,-13,78
PANTONE 3945 C,11345,90,-10,87
PANTONE 395 C,11346,90,-14,84
PANTONE 3955 C,11347,88,-8,85
PANTONE 396 C,11348,87,-15,84
PANTONE 3965 C,11349,87,-7,84
PANTONE 397 C,11350,74,-10,73
PANTONE 3975 C,11351,68,-3,69
PANTONE 398 C,11352,66,-7,67
PANTONE 3985 C,11353,57,-2,60
PANTONE 399 C,11354,60,-4,62
PANTONE 3995 C,11355,39,-1,34
PANTONE 400 C,11356,78,0,5
PANTONE 4001 C,11357,88,-2,32
PANTONE 4002 C,11358,81,1,37
PANTONE 4003 C,11359,81,-2,25
PANTONE 4004 C,11360,75,0,34
PANTONE 4005 C,11361,72,1,28
PANTONE 4006 C,11362,68,3,29
PANTONE 4007 C,11363,63,3,32
PANTONE 4008 C,11364,77,17,73
PANTONE 4009 C,11365,72,26,55
PANTONE 401 C,11366,70,0,5
PANTONE 4010 C,11367,60,46,65
PANTONE 4011 C,11368,62,39,41
PANTONE 4012 C,11369,62,44,50
PANTONE 4013 C,11370,56,35,52
PANTONE 4014 C,11371,53,30,32
PANTONE 4015 C,11372,80,-6,50
PANTONE 4016 C,11373,78,-3,65
PANTONE 4017 C,11374,77,5,63
PANTONE 4018 C,11375,74,2,56
PANTONE 4019 C,11376,70,1,49
PANTONE 402 C,11377,63,1,5
PANTONE 4020 C,11378,67,2,68
PANTONE 4021 C,11379,62,3,51
PANTONE 4022 C,11380,75,4,31
PANTONE 4023 C,11381,75,4,42
PANTONE 4024 C,11382,73,7,41
PANTONE 4025 C,11383,70,13,52
PANTONE 4026 C,11384,62,13,48
PANTONE 4027 C,11385,46,13,43
PANTONE 4028 C,11386,43,9,35
PANTONE 4029 C,11387,84,5,24
PANTONE 403 C,11388,56,1,6
PANTONE 4030 C,11389,84,11,19
PANTONE 4031 C,11390,84,9,12
PANTONE 4032 C,11391,85,14,11
PANTONE 4033 C,11392,81,20,17
PANTONE 4034 C,11393,66,17,25
PANTONE 4035 C,11394,66,15,25
PANTONE 4036 C,11395,67,14,7
PANTONE 4037 C,11396,58,21,12
PANTONE 4038 C,11397,55,24,16
PANTONE 4039 C,11398,52,27,17
PANTONE 404 C,11399,47,2,7
PANTONE 4040 C,11400,50,17,10
PANTONE 4041 C,11401,43,13,9
PANTONE 4042 C,11402,42,10,10
PANTONE 4043 C,11403,81,7,15
PANTONE 4044 C,11404,69,10,17
PANTONE 4045 C,11405,65,11,15
PANTONE 4046 C,11406,64,7,15
PANTONE 4047 C,11407,61,9,17
PANTONE 4048 C,11408,57,10,18
PANTONE 4049 C,11409,56,5,13
PANTONE 405 C,11410,42,1,6
PANTONE 4050 C,11411,74,14,18
PANTONE 4051 C,11412,66,32,23
PANTONE 4052 C,11413,65,30,22
PANTONE 4053 C,11414,61,31,24
PANTONE 4054 C,11415,46,34,29
PANTONE 4055 C,11416,46,33,24
PANTONE 4056 C,11417,40,22,15
PANTONE 4057 C,11418,59,48,30
PANTONE 4058 C,11419,55,60,29
PANTONE 4059 C,11420,45,58,27
PANTONE 406 C,11421,77,2,3
PANTONE 4060 C,11422,45,54,26
PANTONE 4061 C,11423,53,36,19
PANTONE 4062 C,11424,43,41,21
PANTONE 4063 C,11425,40,37,27
PANTONE 4064 C,11426,78,21,4
PANTONE 4065 C,11427,76,20,6
PANTONE 4066 C,11428,73,27,14
PANTONE 4067 C,11429,73,27,12
PANTONE 4068 C,11430,69,33,12
PANTONE 4069 C,11431,51,49,16
PANTONE 407 C,11432,69,3,4
PANTONE 4070 C,11433,44,50,16
PANTONE 4071 C,11434,65,29,0
PANTONE 4072 C,11435,64,42,1
PANTONE 4073 C,11436,50,54,4
PANTONE 4074 C,11437,29,44,-3
PANTONE 4075 C,11438,34,35,0
PANTONE 4076 C,11439,37,29,-1
PANTONE 4077 C,11440,38,27,3
PANTONE 4078 C,11441,82,15,-5
PANTONE 4079 C,11442,73,17,-9
PANTONE 408 C,11443,59,3,4
PANTONE 4080 C,11444,75,15,-10
PANTONE 4081 C,11445,63,15,-9
PANTONE 4082 C,11446,51,31,-12
PANTONE 4083 C,11447,45,26,-24
PANTONE 4084 C,11448,33,26,-12
PANTONE 4085 C,11449,76,4,7
PANTONE 4086 C,11450,70,8,2
PANTONE 4087 C,11451,67,8,7
PANTONE 4088 C,11452,60,10,9
PANTONE 4089 C,11453,60,8,5
PANTONE 409 C,11454,52,4,4
PANTONE 4090 C,11455,51,10,10
PANTONE 4091 C,11456,43,11,5
PANTONE 4092 C,11457,72,14,-2
PANTONE 4093 C,11458,63,12,2
PANTONE 4094 C,11459,49,18,-1
PANTONE 4095 C,11460,44,21,-1
PANTONE 4096 C,11461,37,20,6
PANTONE 4097 C,11462,37,17,4
PANTONE 4098 C,11463,33,13,10
PANTONE 4099 C,11464,59,15,6
PANTONE 410 C,11465,45,5,4
PANTONE 4100 C,11466,39,20,8
PANTONE 4101 C,11467,24,29,12
PANTONE 4102 C,11468,20,27,9
PANTONE 4103 C,11469,21,22,3
PANTONE 4104 C,11470,28,11,3
PANTONE 4105 C,11471,31,16,14
PANTONE 4106 C,11472,72,11,-1
PANTONE 4107 C,11473,63,12,-6
PANTONE 4108 C,11474,59,14,-5
PANTONE 4109 C,11475,55,17,-4
PANTONE 411 C,11476,36,4,5
PANTONE 4110 C,11477,50,14,-6
PANTONE 4111 C,11478,42,18,-5
PANTONE 4112 C,11479,49,13,1
PANTONE 4113 C,11480,61,8,1
PANTONE 4114 C,11481,60,6,-1
PANTONE 4115 C,11482,55,8,1
PANTONE 4116 C,11483,57,8,3
PANTONE 4117 C,11484,44,8,-8
PANTONE 4118 C,11485,26,8,-11
PANTONE 4119 C,11486,25,4,-6
PANTONE 412 C,11487,21,3,2
PANTONE 4120 C,11488,72,10,-18
PANTONE 4121 C,11489,61,11,-20
PANTONE 4122 C,11490,49,17,-36
PANTONE 4123 C,11491,69,2,-11
PANTONE 4124 C,11492,61,4,-17
PANTONE 4125 C,11493,40,5,-15
PANTONE 4126 C,11494,30,13,-19
PANTONE 4127 C,11495,54,2,-12
PANTONE 4128 C,11496,48,1,-11
PANTONE 4129 C,11497,47,-1,-10
PANTONE 413 C,11498,76,-3,4
PANTONE 4130 C,11499,38,0,-12
PANTONE 4131 C,11500,32,1,-11
PANTONE 4132 C,11501,25,3,-10
PANTONE 4133 C,11502,25,2,-8
PANTONE 4134 C,11503,67,1,-7
PANTONE 4135 C,11504,55,-1,-14
PANTONE 4136 C,11505,46,-2,-12
PANTONE 4137 C,11506,39,-4,-17
PANTONE 4138 C,11507,40,-5,-13
PANTONE 4139 C,11508,38,-2,-12
PANTONE 414 C,11509,69,-3,5
PANTONE 4140 C,11510,25,0,-8
PANTONE 4141 C,11511,42,4,-38
PANTONE 4142 C,11512,34,4,-31
PANTONE 4143 C,11513,35,-2,-18
PANTONE 4144 C,11514,26,6,-20
PANTONE 4145 C,11515,22,4,-18
PANTONE 4146 C,11516,12,4,-17
PANTONE 4147 C,11517,15,9,-20
PANTONE 4148 C,11518,59,-13,-20
PANTONE 4149 C,11519,68,-7,-18
PANTONE 415 C,11520,61,-3,6
PANTONE 4150 C,11521,51,-2,-37
PANTONE 4151 C,11522,42,-5,-46
PANTONE 4152 C,11523,34,0,-43
PANTONE 4153 C,11524,32,0,-39
PANTONE 4154 C,11525,27,-1,-35
PANTONE 4155 C,11526,80,-5,-4
PANTONE 4156 C,11527,75,-12,-11
PANTONE 4157 C,11528,67,-20,-18
PANTONE 4158 C,11529,49,-18,-20
PANTONE 4159 C,11530,34,-10,-32
PANTONE 416 C,11531,53,-3,6
PANTONE 4160 C,11532,28,-13,-20
PANTONE 4161 C,11533,30,-8,-12
PANTONE 4162 C,11534,81,-17,2
PANTONE 4163 C,11535,77,-23,2
PANTONE 4164 C,11536,48,-32,-2
PANTONE 4165 C,11537,40,-26,-2
PANTONE 4166 C,11538,46,-20,-4
PANTONE 4167 C,11539,39,-20,-2
PANTONE 4168 C,11540,27,-14,-4
PANTONE 4169 C,11541,79,-8,1
PANTONE 417 C,11542,43,-3,5
PANTONE 4170 C,11543,75,-10,-2
PANTONE 4171 C,11544,73,-11,-3
PANTONE 4172 C,11545,69,-18,-2
PANTONE 4173 C,11546,75,-23,-5
PANTONE 4174 C,11547,74,-21,-7
PANTONE 4175 C,11548,73,-13,-9
PANTONE 4176 C,11549,82,-5,5
PANTONE 4177 C,11550,76,-4,7
PANTONE 4178 C,11551,70,-6,10
PANTONE 4179 C,11552,66,-11,17
PANTONE 418 C,11553,35,-2,5
PANTONE 4180 C,11554,62,-8,12
PANTONE 4181 C,11555,54,-11,9
PANTONE 4182 C,11556,49,-9,8
PANTONE 4183 C,11557,77,-5,4
PANTONE 4184 C,11558,68,-8,4
PANTONE 4185 C,11559,65,-12,1
PANTONE 4186 C,11560,56,-15,-2
PANTONE 4187 C,11561,50,-9,-2
PANTONE 4188 C,11562,37,-11,-3
PANTONE 4189 C,11563,29,-15,-10
PANTONE 419 C,11564,13,-2,0
PANTONE 4190 C,11565,72,-7,6
PANTONE 4191 C,11566,66,-8,2
PANTONE 4192 C,11567,60,-9,5
PANTONE 4193 C,11568,43,-5,6
PANTONE 4194 C,11569,41,-6,-1
PANTONE 4195 C,11570,43,-1,-1
PANTONE 4196 C,11571,35,-6,-5
PANTONE 4197 C,11572,63,-9,4
PANTONE 4198 C,11573,51,-10,4
PANTONE 4199 C,11574,43,-9,4
PANTONE 420 C,11575,81,-2,1
PANTONE 4200 C,11576,44,-9,3
PANTONE 4201 C,11577,42,-12,3
PANTONE 4202 C,11578,31,-10,1
PANTONE 4203 C,11579,28,-13,1
PANTONE 4204 C,11580,82,-12,18
PANTONE 4205 C,11581,75,-17,26
PANTONE 4206 C,11582,68,-18,19
PANTONE 4207 C,11583,63,-20,17
PANTONE 4208 C,11584,43,-24,10
PANTONE 4209 C,11585,35,-15,3
PANTONE 421 C,11586,73,-2,1
PANTONE 4210 C,11587,31,-15,3
PANTONE 4211 C,11588,85,-12,32
PANTONE 4212 C,11589,66,-26,49
PANTONE 4213 C,11590,55,-25,42
PANTONE 4214 C,11591,48,-17,16
PANTONE 4215 C,11592,44,-19,23
PANTONE 4216 C,11593,34,-18,26
PANTONE 4217 C,11594,37,-16,30
PANTONE 4218 C,11595,73,-6,11
PANTONE 4219 C,11596,69,-5,9
PANTONE 422 C,11597,66,-2,-2
PANTONE 4220 C,11598,57,-4,9
PANTONE 4221 C,11599,52,-5,15
PANTONE 4222 C,11600,49,-4,10
PANTONE 4223 C,11601,43,-6,11
PANTONE 4224 C,11602,30,-8,9
PANTONE 4225 C,11603,55,1,11
PANTONE 4226 C,11604,54,-3,15
PANTONE 4227 C,11605,44,-3,13
PANTONE 4228 C,11606,36,-2,14
PANTONE 4229 C,11607,39,-3,10
PANTONE 423 C,11608,58,-2,-2
PANTONE 4230 C,11609,36,1,5
PANTONE 4231 C,11610,40,0,9
PANTONE 4232 C,11611,81,-12,79
PANTONE 4233 C,11612,75,-12,74
PANTONE 4234 C,11613,76,-13,49
PANTONE 4235 C,11614,71,-7,26
PANTONE 4236 C,11615,76,-8,41
PANTONE 4237 C,11616,67,-5,35
PANTONE 4238 C,11617,57,-6,30
PANTONE 4239 C,11618,79,-1,9
PANTONE 424 C,11619,48,-1,0
PANTONE 4240 C,11620,77,1,14
PANTONE 4241 C,11621,71,1,20
PANTONE 4242 C,11622,51,2,24
PANTONE 4243 C,11623,47,7,19
PANTONE 4244 C,11624,46,5,17
PANTONE 4245 C,11625,35,2,11
PANTONE 4246 C,11626,79,-1,14
PANTONE 4247 C,11627,79,3,14
PANTONE 4248 C,11628,80,3,16
PANTONE 4249 C,11629,72,4,20
PANTONE 425 C,11630,37,-3,-1
PANTONE 4250 C,11631,70,3,19
PANTONE 4251 C,11632,68,3,24
PANTONE 4252 C,11633,68,4,18
PANTONE 4253 C,11634,69,5,15
PANTONE 4254 C,11635,66,10,26
PANTONE 4255 C,11636,64,4,20
PANTONE 4256 C,11637,62,6,20
PANTONE 4257 C,11638,54,7,11
PANTONE 4258 C,11639,41,6,5
PANTONE 4259 C,11640,17,2,5
PANTONE 426 C,11641,16,-1,-2
PANTONE 4260 C,11642,72,11,17
PANTONE 4261 C,11643,51,16,30
PANTONE 4262 C,11644,53,19,28
PANTONE 4263 C,11645,53,22,30
PANTONE 4264 C,11646,54,21,26
PANTONE 4265 C,11647,48,20,24
PANTONE 4266 C,11648,47,22,31
PANTONE 4267 C,11649,73,4,9
PANTONE 4268 C,11650,67,5,12
PANTONE 4269 C,11651,62,6,17
PANTONE 427 C,11652,84,-1,-2
PANTONE 4270 C,11653,57,3,14
PANTONE 4271 C,11654,53,6,11
PANTONE 4272 C,11655,47,7,9
PANTONE 4273 C,11656,31,3,2
PANTONE 4274 C,11657,74,-2,-3
PANTONE 4275 C,11658,71,-2,1
PANTONE 4276 C,11659,65,0,-2
PANTONE 4277 C,11660,58,2,-3
PANTONE 4278 C,11661,53,1,-3
PANTONE 4279 C,11662,36,4,-2
PANTONE 428 C,11663,80,-2,-3
PANTONE 4280 C,11664,17,0,-9
PANTONE 4281 C,11665,72,0,0
PANTONE 4282 C,11666,70,1,0
PANTONE 4283 C,11667,67,2,0
PANTONE 4284 C,11668,46,4,-5
PANTONE 4285 C,11669,42,4,-4
PANTONE 4286 C,11670,37,5,-4
PANTONE 4287 C,11671,28,2,0
PANTONE 4288 C,11672,76,-4,3
PANTONE 4289 C,11673,63,0,0
PANTONE 429 C,11674,69,-3,-3
PANTONE 4290 C,11675,58,2,0
PANTONE 4291 C,11676,47,2,1
PANTONE 4292 C,11677,47,2,-1
PANTONE 4293 C,11678,40,4,-4
PANTONE 4294 C,11679,35,2,-2
PANTONE 430 C,11680,56,-3,-6
PANTONE 431 C,11681,43,-4,-7
PANTONE 432 C,11682,26,-4,-8
PANTONE 433 C,11683,14,-2,-8
PANTONE 434 C,11684,80,4,0
PANTONE 435 C,11685,74,5,0
PANTONE 436 C,11686,65,7,0
PANTONE 437 C,11687,45,10,0
PANTONE 438 C,11688,31,9,2
PANTONE 439 C,11689,24,7,2
PANTONE 440 C,11690,20,5,2
PANTONE 441 C,11691,79,-4,0
PANTONE 442 C,11692,70,-4,-1
PANTONE 443 C,11693,64,-4,-2
PANTONE 444 C,11694,51,-5,-3
PANTONE 445 C,11695,36,-3,-3
PANTONE 446 C,11696,28,-3,0
PANTONE 447 C,11697,24,-2,1
PANTONE 448 C,11698,28,1,15
PANTONE 4485 C,11699,34,4,26
PANTONE 449 C,11700,30,2,19
PANTONE 4495 C,11701,51,1,40
PANTONE 450 C,11702,33,2,25
PANTONE 4505 C,11703,56,1,37
PANTONE 451 C,11704,61,-3,28
PANTONE 4515 C,11705,68,-1,32
PANTONE 452 C,11706,69,-3,23
PANTONE 4525 C,11707,75,0,28
PANTONE 453 C,11708,75,-4,18
PANTONE 4535 C,11709,79,-2,25
PANTONE 454 C,11710,80,-3,15
PANTONE 4545 C,11711,82,-2,23
PANTONE 455 C,11712,39,0,32
PANTONE 456 C,11713,59,-1,52
PANTONE 457 C,11714,66,1,63
PANTONE 458 C,11715,80,-3,56
PANTONE 459 C,11716,82,-4,53
PANTONE 460 C,11717,86,-5,45
PANTONE 461 C,11718,88,-5,36
PANTONE 462 C,11719,32,8,19
PANTONE 4625 C,11720,22,16,17
PANTONE 463 C,11721,37,12,29
PANTONE 4635 C,11722,46,19,32
PANTONE 464 C,11723,43,17,35
PANTONE 4645 C,11724,56,16,25
PANTONE 465 C,11725,65,7,36
PANTONE 4655 C,11726,65,13,22
PANTONE 466 C,11727,71,5,30
PANTONE 4665 C,11728,71,11,21
PANTONE 467 C,11729,77,3,27
PANTONE 4675 C,11730,79,8,15
PANTONE 468 C,11731,82,1,22
PANTONE 4685 C,11732,82,6,16
PANTONE 469 C,11733,31,16,25
PANTONE 4695 C,11734,26,17,14
PANTONE 470 C,11735,47,28,40
PANTONE 4705 C,11736,38,19,19
PANTONE 471 C,11737,51,31,47
PANTONE 4715 C,11738,49,16,18
PANTONE 472 C,11739,71,23,36
PANTONE 4725 C,11740,61,12,15
PANTONE 473 C,11741,81,14,25
PANTONE 4735 C,11742,69,9,12
PANTONE 474 C,11743,83,12,21
PANTONE 4745 C,11744,75,6,10
PANTONE 475 C,11745,86,9,19
PANTONE 4755 C,11746,80,5,9
PANTONE 476 C,11747,25,10,12
PANTONE 477 C,11748,29,15,17
PANTONE 478 C,11749,33,19,23
PANTONE 479 C,11750,57,14,21
PANTONE 480 C,11751,71,7,15
PANTONE 481 C,11752,78,6,12
PANTONE 482 C,11753,82,5,11
PANTONE 483 C,11754,27,23,18
PANTONE 484 C,11755,37,43,33
PANTONE 485 C,11756,48,66,53
PANTONE 486 C,11757,69,31,26
PANTONE 487 C,11758,75,24,19
PANTONE 488 C,11759,80,16,15
PANTONE 489 C,11760,82,12,14
PANTONE 490 C,11761,24,23,10
PANTONE 491 C,11762,32,34,15
PANTONE 492 C,11763,35,40,19
PANTONE 493 C,11764,66,36,4
PANTONE 494 C,11765,74,28,3
PANTONE 495 C,11766,82,20,1
PANTONE 496 C,11767,84,16,2
PANTONE 497 C,11768,24,15,8
PANTONE 4975 C,11769,17,15,5
PANTONE 498 C,11770,30,21,12
PANTONE 4985 C,11771,40,26,8
PANTONE 499 C,11772,34,26,15
PANTONE 4995 C,11773,48,24,5
PANTONE 500 C,11774,63,26,4
PANTONE 5005 C,11775,58,20,5
PANTONE 501 C,11776,73,21,3
PANTONE 5015 C,11777,71,16,3
PANTONE 502 C,11778,80,17,2
PANTONE 5025 C,11779,78,14,3
PANTONE 503 C,11780,83,13,4
PANTONE 5035 C,11781,81,10,3
PANTONE 504 C,11782,24,22,4
PANTONE 505 C,11783,29,31,3
PANTONE 506 C,11784,34,36,1
PANTONE 507 C,11785,68,28,-3
PANTONE 508 C,11786,75,24,-1
PANTONE 509 C,11787,78,21,-1
PANTONE 510 C,11788,81,18,-1
PANTONE 511 C,11789,27,28,-11
PANTONE 5115 C,11790,23,20,-9
PANTONE 512 C,11791,35,42,-24
PANTONE 5125 C,11792,32,23,-12
PANTONE 513 C,11793,39,49,-31
PANTONE 5135 C,11794,41,21,-11
PANTONE 514 C,11795,67,35,-20
PANTONE 5145 C,11796,54,18,-10
PANTONE 515 C,11797,77,25,-14
PANTONE 5155 C,11798,70,12,-6
PANTONE 516 C,11799,81,19,-11
PANTONE 5165 C,11800,80,8,-5
PANTONE 517 C,11801,84,16,-8
PANTONE 5175 C,11802,82,7,-3
PANTONE 518 C,11803,24,16,-11
PANTONE 5185 C,11804,24,13,-6
PANTONE 519 C,11805,27,24,-20
PANTONE 5195 C,11806,33,18,-8
PANTONE 520 C,11807,29,31,-26
PANTONE 5205 C,11808,46,17,-8
PANTONE 521 C,11809,58,22,-22
PANTONE 5215 C,11810,64,11,-6
PANTONE 522 C,11811,68,17,-18
PANTONE 5225 C,11812,74,9,-4
PANTONE 523 C,11813,75,12,-13
PANTONE 5235 C,11814,79,7,-2
PANTONE 524 C,11815,81,10,-9
PANTONE 5245 C,11816,83,6,-2
PANTONE 525 C,11817,26,26,-23
PANTONE 5255 C,11818,11,7,-17
PANTONE 526 C,11819,32,40,-39
PANTONE 5265 C,11820,26,10,-22
PANTONE 527 C,11821,37,48,-49
PANTONE 5275 C,11822,37,8,-20
PANTONE 528 C,11823,61,32,-35
PANTONE 5285 C,11824,58,6,-15
PANTONE 529 C,11825,72,22,-25
PANTONE 5295 C,11826,73,3,-10
PANTONE 530 C,11827,79,16,-18
PANTONE 5305 C,11828,80,2,-7
PANTONE 531 C,11829,83,13,-12
PANTONE 5315 C,11830,86,1,-4
PANTONE 532 C,11831,12,0,-8
PANTONE 533 C,11832,17,2,-18
PANTONE 534 C,11833,22,0,-27
PANTONE 535 C,11834,65,-2,-17
PANTONE 536 C,11835,72,-2,-14
PANTONE 537 C,11836,80,-3,-9
PANTONE 538 C,11837,83,-3,-7
PANTONE 539 C,11838,14,-7,-18
PANTONE 5395 C,11839,10,-5,-12
PANTONE 540 C,11840,19,-3,-28
PANTONE 5405 C,11841,47,-9,-17
PANTONE 541 C,11842,24,-1,-36
PANTONE 5415 C,11843,51,-9,-17
PANTONE 542 C,11844,69,-11,-25
PANTONE 5425 C,11845,61,-8,-14
PANTONE 543 C,11846,79,-9,-18
PANTONE 5435 C,11847,75,-5,-10
PANTONE 544 C,11848,84,-6,-12
PANTONE 5445 C,11849,80,-6,-8
PANTONE 545 C,11850,86,-6,-9
PANTONE 5455 C,11851,82,-4,-7
PANTONE 546 C,11852,15,-11,-9
PANTONE 5463 C,11853,14,-11,-7
PANTONE 5467 C,11854,19,-12,-1
PANTONE 547 C,11855,18,-13,-12
PANTONE 5473 C,11856,36,-22,-11
PANTONE 5477 C,11857,37,-13,-1
PANTONE 548 C,11858,23,-14,-16
PANTONE 5483 C,11859,52,-18,-11
PANTONE 5487 C,11860,49,-11,-2
PANTONE 549 C,11861,64,-16,-17
PANTONE 5493 C,11862,66,-14,-7
PANTONE 5497 C,11863,61,-9,-2
PANTONE 550 C,11864,72,-12,-14
PANTONE 5503 C,11865,72,-11,-7
PANTONE 5507 C,11866,70,-8,-1
PANTONE 551 C,11867,78,-11,-10
PANTONE 5513 C,11868,78,-10,-5
PANTONE 5517 C,11869,77,-6,0
PANTONE 552 C,11870,83,-8,-8
PANTONE 5523 C,11871,82,-9,-3
PANTONE 5527 C,11872,80,-6,0
PANTONE 553 C,11873,27,-16,8
PANTONE 5535 C,11874,18,-12,2
PANTONE 554 C,11875,35,-27,9
PANTONE 5545 C,11876,41,-17,2
PANTONE 555 C,11877,43,-31,11
PANTONE 5555 C,11878,50,-15,3
PANTONE 556 C,11879,62,-23,8
PANTONE 5565 C,11880,62,-14,2
PANTONE 557 C,11881,68,-18,5
PANTONE 5575 C,11882,68,-11,2
PANTONE 558 C,11883,74,-16,5
PANTONE 5585 C,11884,75,-10,3
PANTONE 559 C,11885,78,-13,5
PANTONE 5595 C,11886,81,-7,4
PANTONE 560 C,11887,23,-14,1
PANTONE 5605 C,11888,21,-11,4
PANTONE 561 C,11889,33,-27,-1
PANTONE 5615 C,11890,47,-12,7
PANTONE 562 C,11891,42,-31,-1
PANTONE 5625 C,11892,53,-11,7
PANTONE 563 C,11893,71,-28,-2
PANTONE 5635 C,11894,66,-9,5
PANTONE 564 C,11895,76,-25,-1
PANTONE 5645 C,11896,71,-8,5
PANTONE 565 C,11897,81,-19,-1
PANTONE 5655 C,11898,76,-7,5
PANTONE 566 C,11899,85,-14,0
PANTONE 5665 C,11900,78,-6,5
PANTONE 567 C,11901,24,-18,2
PANTONE 568 C,11902,40,-31,0
PANTONE 569 C,11903,48,-36,1
PANTONE 570 C,11904,75,-33,-1
PANTONE 571 C,11905,83,-24,-1
PANTONE 572 C,11906,85,-22,-1
PANTONE 573 C,11907,87,-18,0
PANTONE 574 C,11908,37,-12,23
PANTONE 5743 C,11909,29,-9,18
PANTONE 5747 C,11910,28,-8,22
PANTONE 575 C,11911,51,-20,35
PANTONE 5753 C,11912,42,-11,24
PANTONE 5757 C,11913,47,-9,36
PANTONE 576 C,11914,61,-24,38
PANTONE 5763 C,11915,50,-9,24
PANTONE 5767 C,11916,58,-10,35
PANTONE 577 C,11917,76,-19,30
PANTONE 5773 C,11918,58,-9,21
PANTONE 5777 C,11919,66,-9,30
PANTONE 578 C,11920,80,-15,24
PANTONE 5783 C,11921,68,-8,18
PANTONE 5787 C,11922,75,-8,24
PANTONE 579 C,11923,81,-14,23
PANTONE 5793 C,11924,74,-7,17
PANTONE 5797 C,11925,80,-7,21
PANTONE 5803 C,11926,79,-6,15
PANTONE 5807 C,11927,83,-6,18
PANTONE 581 C,11928,39,-4,34
PANTONE 5815 C,11929,34,-4,27
PANTONE 582 C,11930,57,-9,56
PANTONE 5825 C,11931,53,-5,37
PANTONE 583 C,11932,75,-16,72
PANTONE 5835 C,11933,63,-4,35
PANTONE 584 C,11934,84,-14,60
PANTONE 5845 C,11935,69,-5,31
PANTONE 585 C,11936,87,-12,52
PANTONE 5855 C,11937,75,-5,27
PANTONE 586 C,11938,88,-12,50
PANTONE 5865 C,11939,80,-5,25
PANTONE 587 C,11940,89,-10,42
PANTONE 5875 C,11941,82,-5,24
PANTONE 600 C,11942,92,-7,38
PANTONE 6001 C,11943,85,-1,40
PANTONE 6002 C,11944,83,3,46
PANTONE 6003 C,11945,77,6,57
PANTONE 6004 C,11946,74,10,64
PANTONE 6005 C,11947,72,12,69
PANTONE 6006 C,11948,67,13,65
PANTONE 6007 C,11949,57,20,51
PANTONE 6008 C,11950,67,8,22
PANTONE 6009 C,11951,61,9,26
PANTONE 601 C,11952,91,-8,43
PANTONE 6010 C,11953,56,10,28
PANTONE 6011 C,11954,53,11,31
PANTONE 6012 C,11955,44,12,32
PANTONE 6013 C,11956,38,14,30
PANTONE 6014 C,11957,36,6,24
PANTONE 6015 C,11958,78,18,30
PANTONE 6016 C,11959,73,30,44
PANTONE 6017 C,11960,71,36,54
PANTONE 6018 C,11961,67,41,60
PANTONE 6019 C,11962,61,48,67
PANTONE 602 C,11963,91,-9,53
PANTONE 6020 C,11964,56,52,65
PANTONE 6021 C,11965,55,48,58
PANTONE 6022 C,11966,82,17,12
PANTONE 6023 C,11967,78,19,17
PANTONE 6024 C,11968,70,28,22
PANTONE 6025 C,11969,64,33,27
PANTONE 6026 C,11970,60,36,31
PANTONE 6027 C,11971,53,37,38
PANTONE 6028 C,11972,50,36,34
PANTONE 6029 C,11973,75,12,4
PANTONE 603 C,11974,88,-8,69
PANTONE 6030 C,11975,69,14,8
PANTONE 6031 C,11976,63,15,10
PANTONE 6032 C,11977,59,17,12
PANTONE 6033 C,11978,55,18,15
PANTONE 6034 C,11979,51,20,18
PANTONE 6035 C,11980,46,21,19
PANTONE 6036 C,11981,64,19,1
PANTONE 6037 C,11982,56,22,4
PANTONE 6038 C,11983,50,25,5
PANTONE 6039 C,11984,44,27,7
PANTONE 604 C,11985,86,-7,79
PANTONE 6040 C,11986,38,28,11
PANTONE 6041 C,11987,34,28,12
PANTONE 6042 C,11988,26,24,10
PANTONE 6043 C,11989,71,39,8
PANTONE 6044 C,11990,68,42,12
PANTONE 6045 C,11991,65,45,14
PANTONE 6046 C,11992,61,48,20
PANTONE 6047 C,11993,52,52,32
PANTONE 6048 C,11994,52,52,28
PANTONE 6049 C,11995,47,48,38
PANTONE 605 C,11996,82,-4,81
PANTONE 6050 C,11997,78,35,-8
PANTONE 6051 C,11998,70,49,-1
PANTONE 6052 C,11999,63,50,2
PANTONE 6053 C,12000,62,61,8
PANTONE 6054 C,12001,56,56,4
PANTONE 6055 C,12002,51,58,12
PANTONE 6056 C,12003,48,58,16
PANTONE 6057 C,12004,57,52,-15
PANTONE 6058 C,12005,52,55,-13
PANTONE 6059 C,12006,49,56,-11
PANTONE 606 C,12007,74,-2,74
PANTONE 6060 C,12008,47,56,-9
PANTONE 6061 C,12009,44,56,-8
PANTONE 6062 C,12010,43,56,-5
PANTONE 6063 C,12011,39,51,-1
PANTONE 6064 C,12012,75,15,-9
PANTONE 6065 C,12013,69,20,-6
PANTONE 6066 C,12014,65,22,-6
PANTONE 6067 C,12015,60,23,-7
PANTONE 6068 C,12016,56,24,-6
PANTONE 6069 C,12017,49,25,-5
PANTONE 607 C,12018,90,-6,36
PANTONE 6070 C,12019,49,25,-5
PANTONE 6071 C,12020,54,16,-15
PANTONE 6072 C,12021,40,19,-15
PANTONE 6073 C,12022,34,19,-15
PANTONE 6074 C,12023,32,19,-13
PANTONE 6075 C,12024,28,18,-12
